City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
32,Busselton,AU,2022-10-13 18:11:38,-33.65,115.3333,284.12,69,94,2.04
33,Dikson,RU,2022-10-13 18:11:39,73.5069,80.5464,273.8,94,100,13.04
34,Namibe,AO,2022-10-13 18:11:26,-15.1961,12.1522,293.51,86,20,5.09
35,Ponta Do Sol,PT,2022-10-13 18:11:39,32.6667,-17.1,296.5,76,48,1.77
36,Klaksvik,FO,2022-10-13 18:11:40,62.2266,-6.589,280.66,80,93,3.38
37,Pundaguitan,PH,2022-10-13 18:11:40,6.3711,126.1689,301.67,76,100,4.47
38,Aklavik,CA,2022-10-13 18:11:41,68.2191,-135.0107,269.15,74,100,5.14
39,Saint-Philippe,RE,2022-10-13 18:11:42,-21.3585,55.7679,294.92,75,16,4.23
40,Takoradi,GH,2022-10-13 18:11:42,4.8845,-1.7554,298.85,85,68,5.1
41,Bambous Virieux,MU,2022-10-13 18:11:42,-20.3428,57.7575,295.49,73,75,6.17
42,Launceston,AU,2022-10-13 18:11:43,-41.45,147.1667,283.95,93,100,8.75
43,New Norfolk,AU,2022-10-13 18:11:44,-42.7826,147.0587,284.87,72,100,0.89
44,Santa Barbara,US,2022-10-13 18:11:44,34.7333,-120.0343,292.78,78,40,0.0
45,East London,ZA,2022-10-13 18:11:45,-33.0153,27.9116,293.67,88,40,9.77
46,Bandarbeyla,SO,2022-10-13 18:12:45,9.4942,50.8122,298.51,87,57,3.14
47,Ciudad Guayana,VE,2022-10-13 18:12:46,8.3533,-62.6528,303.11,66,86,2.56
48,Bonavista,CA,2022-10-13 18:12:47,48.6499,-53.1147,285.24,62,10,1.05
49,Rikitea,PF,2022-10-13 18:12:47,-23.1203,-134.9692,294.39,72,15,7.59
50,Ilulissat,GL,2022-10-13 18:12:48,69.2167,-51.1,271.16,86,75,0.0
51,Souillac,MU,2022-10-13 18:12:48,-20.5167,57.5167,295.36,73,75,6.17
52,Norman Wells,CA,2022-10-13 18:12:49,65.282,-126.8329,271.17,93,100,7.2
53,Kangaatsiaq,GL,2022-10-13 18:12:49,68.3065,-53.4641,272.05,81,76,3.94
54,Puerto Maldonado,PE,2022-10-13 18:12:50,-12.6,-69.1833,295.37,94,75,2.06
55,Fomboni,KM,2022-10-13 18:12:50,-12.28,43.7425,298.27,70,0,2.68
56,Puerto Ayora,EC,2022-10-13 18:12:52,-0.7393,-90.3518,299.13,87,95,3.58
57,Kapaa,US,2022-10-13 18:12:53,22.0752,-159.319,297.09,91,100,2.24
58,Kashan,IR,2022-10-13 18:12:53,33.9831,51.4364,296.42,26,95,1.66
59,Khatanga,RU,2022-10-13 18:12:54,71.9667,102.5,253.96,100,55,2.52
60,Kulhudhuffushi,MV,2022-10-13 18:12:54,6.6221,73.07,299.69,82,97,8.03
61,Sinnamary,GF,2022-10-13 18:12:55,5.3833,-52.95,302.49,69,49,5.9
62,Henties Bay,NA,2022-10-13 18:12:55,-22.116,14.2845,287.97,90,54,3.27
63,Nampula,MZ,2022-10-13 18:12:56,-15.1165,39.2666,297.04,44,5,4.03
64,Jamestown,US,2022-10-13 18:08:57,42.097,-79.2353,285.9,91,100,4.92
65,Aykhal,RU,2022-10-13 18:12:07,66.0,111.5,266.22,96,99,3.44
66,Gazojak,TM,2022-10-13 18:12:57,41.1875,61.4036,288.9,35,63,5.95
