City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
263,Lalibela,ET,12.0333,39.0333,60.26,51,89,7.23,overcast clouds
264,Sibolga,ID,1.7427,98.7792,74.05,96,100,4.61,overcast clouds
265,Cayenne,GF,4.9333,-52.3333,86.04,70,75,9.22,broken clouds
266,Husavik,IS,66.0449,-17.3389,35.51,96,100,31.81,overcast clouds
267,Pevek,RU,69.7008,170.3133,16.0,94,100,4.85,light snow
268,Cap-Aux-Meules,CA,47.3821,-61.8597,55.45,88,75,13.8,broken clouds
269,Alyangula,AU,-13.8483,136.4192,80.33,82,100,9.95,overcast clouds
270,Zhangjiakou,CN,40.81,114.8794,42.62,23,33,11.48,scattered clouds
271,Maceio,BR,-9.6658,-35.7353,80.04,69,40,10.36,scattered clouds
272,College,US,64.8569,-147.8028,31.8,67,100,4.0,overcast clouds
273,Shingu,JP,33.7333,135.9833,65.95,87,0,4.65,clear sky
274,Saint George,US,37.1041,-113.5841,81.79,17,0,1.99,clear sky
275,Nadvoitsy,RU,63.8667,34.3167,46.98,94,100,10.65,light rain
276,Gimli,CA,50.6336,-96.9907,41.95,84,100,22.37,overcast clouds
277,Vanimo,PG,-2.6741,141.3028,76.64,90,97,4.81,overcast clouds
278,Naze,JP,28.3667,129.4833,76.64,86,58,9.78,broken clouds
279,Zyryanovsk,KZ,49.7386,84.2719,44.62,40,64,1.63,broken clouds
280,Abdulino,RU,53.7,53.6667,41.52,91,100,9.17,overcast clouds
281,Vilhena,BR,-12.7406,-60.1458,77.54,69,68,4.74,broken clouds
282,Acapulco,MX,16.8634,-99.8901,85.1,70,29,6.49,scattered clouds
283,Loreto,MX,22.2667,-101.9667,77.0,30,14,0.25,few clouds
284,Pingliang,CN,35.5392,106.6861,49.21,34,84,6.33,broken clouds
285,Yilan,TW,24.757,121.753,80.02,98,100,10.74,heavy intensity rain
286,Warri,NG,5.5167,5.75,75.88,92,100,4.21,overcast clouds
287,Mogadishu,SO,2.0371,45.3438,77.65,83,78,13.78,broken clouds
288,Vrangel,RU,42.7297,133.0839,54.72,77,98,2.68,overcast clouds
289,Salalah,OM,17.0151,54.0924,76.28,64,96,1.63,overcast clouds
290,Fukue,JP,32.6881,128.8419,71.31,80,0,7.11,clear sky
291,Skala,PL,50.2305,19.8536,57.06,77,40,4.61,scattered clouds
292,Cartagena Del Chaira,CO,1.3349,-74.8429,78.44,93,68,4.03,broken clouds
293,Tambopata,PE,-12.7333,-69.1833,88.83,44,78,3.67,broken clouds
294,Zlitan,LY,32.4674,14.5687,74.39,71,42,11.05,light rain
295,Zhigansk,RU,66.7697,123.3711,18.86,96,100,10.63,overcast clouds
296,Port Hawkesbury,CA,45.6169,-61.3485,58.96,97,88,13.0,overcast clouds
297,Brive-La-Gaillarde,FR,45.25,1.5,62.28,87,40,1.99,scattered clouds
298,Boende,CD,-0.2167,20.8667,71.64,87,97,3.51,overcast clouds
299,Zwedru,LR,6.0667,-8.1281,71.55,99,100,3.56,light rain
300,Geraldton,AU,-28.7667,114.6,46.81,87,3,5.75,clear sky
301,Vardo,NO,70.3705,31.1107,44.58,87,100,11.5,overcast clouds
302,Lavrentiya,RU,65.5833,-171.0,28.47,83,100,15.84,overcast clouds
303,Kailua,US,21.4022,-157.7394,83.07,74,94,11.41,overcast clouds
304,Porto Novo,BJ,6.4965,2.6036,78.58,86,100,3.91,overcast clouds
305,Benguela,AO,-12.5763,13.4055,74.88,79,68,5.55,broken clouds
306,Sinyavskoye,RU,47.277,39.2789,52.75,64,6,10.36,clear sky
307,Camacha,PT,33.0833,-16.3333,67.42,73,20,3.44,few clouds
308,Ampanihy,MG,-24.7,44.75,67.89,96,8,3.67,clear sky
309,Bomet,KE,-0.7813,35.3416,56.05,92,94,2.42,overcast clouds
310,Tecpan,GT,14.7623,-90.9947,66.88,82,74,3.76,moderate rain
311,Taltal,CL,-25.4,-70.4833,63.59,67,23,5.91,few clouds
312,Sao Filipe,CV,14.8961,-24.4956,77.27,77,44,9.51,scattered clouds
313,Domoni,KM,-12.2569,44.5319,74.55,80,8,4.32,clear sky
314,Tumbes,PE,-3.5667,-80.4414,73.99,71,98,8.72,overcast clouds
315,Copiapo,CL,-27.3667,-70.3333,77.2,29,0,7.58,clear sky
316,Kokopo,PG,-4.352,152.2633,77.34,77,54,4.34,broken clouds
317,Onda,ES,39.9667,-0.25,71.15,83,10,3.69,clear sky
318,Sergeyevka,KZ,53.88,67.4158,46.65,64,55,5.93,broken clouds
319,Oktyabrskoye,RU,43.0645,44.7417,50.14,93,100,2.24,overcast clouds
320,Marapanim,BR,-0.7175,-47.6997,85.12,59,38,8.95,scattered clouds
321,Lompoc,US,34.6391,-120.4579,71.02,86,65,1.99,broken clouds
322,Gweta,BW,-20.1833,25.2333,77.61,18,55,7.11,broken clouds
323,East London,ZA,-33.0153,27.9116,64.8,84,100,18.86,light rain
324,Port-Cartier,CA,50.0334,-66.8654,48.42,98,100,12.66,overcast clouds
325,Teahupoo,PF,-17.8333,-149.2667,76.96,82,51,15.52,broken clouds
326,Lagoa,PT,39.05,-27.9833,66.69,66,30,22.62,light rain
327,Klyuchi,RU,52.2667,79.1667,49.93,35,100,4.76,overcast clouds
328,Bijar,IR,35.8668,47.6051,56.79,29,93,4.79,overcast clouds
329,Dunedin,NZ,-45.8742,170.5036,50.81,83,92,2.62,overcast clouds
330,Hofn,IS,64.2539,-15.2082,42.31,69,69,18.81,broken clouds
331,Yumen,CN,40.2833,97.2,45.54,30,0,6.02,clear sky
332,Doha,QA,25.2867,51.5333,84.18,65,0,3.44,clear sky
333,Ilinge,ZA,-31.9768,27.0427,56.43,88,100,11.39,overcast clouds
334,Santa Cruz,BO,-17.8,-63.1667,88.72,36,44,5.46,scattered clouds
335,Hualmay,PE,-11.0964,-77.6139,66.65,71,17,11.92,few clouds
336,Lermontovka,RU,47.1453,134.3383,48.96,91,98,2.82,overcast clouds
337,Northam,GB,51.0333,-4.2167,53.38,93,5,24.52,clear sky
338,Mbandaka,CD,0.0487,18.2603,69.82,95,80,3.76,broken clouds
339,Torres,BR,-29.3353,-49.7269,65.82,91,100,12.55,overcast clouds
340,Ulaangom,MN,49.9811,92.0667,29.1,59,6,1.83,clear sky
341,Dwarka,IN,22.2394,68.9678,82.08,63,100,13.27,overcast clouds
342,Aklera,IN,24.4167,76.5667,69.22,60,0,3.71,clear sky
343,Tubinskiy,RU,52.8892,58.2225,34.03,88,34,4.41,scattered clouds
344,Tura,IN,25.5198,90.2201,67.37,78,39,4.16,scattered clouds
345,Toamasina,MG,-18.1667,49.3833,67.91,80,4,0.27,clear sky
346,Sal Rei,CV,16.1833,-22.9167,76.78,73,17,14.81,few clouds
347,Kavaratti,IN,10.5669,72.642,81.28,71,100,1.9,overcast clouds
